SEED,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP
1,646,515,131,79.7,156,154,132,103,62,39,25
2,514,363,151,70.6,156,145,99,69,32,13,5
3,439,287,152,65.4,156,133,82,40,17,11,4
4,397,243,154,61.2,156,123,74,25,15,4,2
5,336,180,156,53.6,156,101,54,12,9,4,0
6,318,163,155,51.3,156,95,45,17,3,2,1
7,294,139,155,47.3,155,96,29,10,3,1,1
8,266,111,155,41.7,156,75,16,9,6,4,1
9,252,96,156,38.1,156,81,8,5,2,0,0
10,249,94,155,37.8,155,60,24,9,1,0,0
11,260,104,156,40.0,156,61,27,10,6,0,0
12,235,79,156,33.6,156,55,22,2,0,0,0
13,195,39,156,20.0,156,33,6,0,0,0,0
14,181,25,156,13.8,156,23,2,0,0,0,0
15,172,16,156,9.3,156,11,4,1,0,0,0
16,158,2,156,1.3,156,2,0,0,0,0,0
